PowerIronFeet     SUITA0
PowerLightAmp     PVISA0
PowerInvisibility PINSA0
PowerHalfDamage   FURYA0
PoweDoubleDamage  CARNA0
PowerRegen        HRGNA0
PowerSDrain       DRRUA0
Power4xDamage     SKUTA0
PowerInvulnerable PINVA0

BulletMag         BULPA0
NewShell          SHELA0
Missile           HROKA0
NewCell           CEL2D0
DemonAmmo         HUDGA0
HandGrenadeAmmo   GRNPA0
MineAmmo          LMINA0

RedCard           RKEYA0
RedSkull          RSKUA0
YellowCard        YKEYA0
YellowSkull       YSKUA0
BlueCard          BKEYA0
BlueSkull         BSKUA0
